,country,city_ascii,iso3
9986,United States,Waterford,USA
9987,Russia,Polyarnyy,RUS
9988,United States,Brigham City,USA
9989,United States,Somerton,USA
9990,United States,Eloy,USA
9991,United States,Mount Airy,USA
9992,Argentina,Zapala,ARG
9993,United States,Rosedale,USA
9994,United States,South Burlington,USA
9995,United States,McAlester,USA
9996,United States,Milton,USA
9997,United States,Cullman,USA
9998,United States,Tiffin,USA
9999,United States,Homewood,USA
10000,Zambia,Mumbwa,ZMB
10001,United States,Alsip,USA
10002,United States,Linda,USA
10003,United States,Helena,USA
10004,United States,Orange,USA
10005,United States,Sparta,USA
10006,United States,Cornelia,USA
10007,United States,Badger,USA
10008,Nepal,Dadeldhura,NPL
10009,United States,Frankfort,USA
10010,United States,Ennis,USA
10011,United States,Altamont,USA
10012,Argentina,Balcarce,ARG
10013,United States,Twinsburg,USA
10014,United States,Highland,USA
