,country,city_ascii,iso3
9304,Congo (Kinshasa),Watsa,COD
9305,United States,North Laurel,USA
9306,United States,Elk River,USA
9307,United States,Norton Shores,USA
9308,Chile,Tocopilla,CHL
9309,United States,Inkster,USA
9310,United States,South Plainfield,USA
9311,United States,Fresno,USA
9312,Russia,Aldan,RUS
9313,United States,Coronado,USA
9314,United States,Freeport,USA
9315,Indonesia,Baubau,IDN
9316,United States,Brookings,USA
9317,United States,Hastings,USA
9318,United States,Kernersville,USA
9319,United States,Trotwood,USA
9320,United States,Denison,USA
9321,United States,Waycross,USA
9322,United States,North Platte,USA
9323,United States,Lincolnia,USA
9324,United States,Rosemount,USA
9325,United States,Scotch Plains,USA
9326,United States,Seal Beach,USA
9327,China,Xinxing,CHN
9328,United States,Tifton,USA
9329,United States,Simsbury,USA
9330,United States,Haines City,USA
9331,French Guiana,Saint-Laurent-du-Maroni,GUF
9332,United States,Thomasville,USA
9333,United States,Ridgeland,USA
9334,United States,North Potomac,USA
9335,United States,Keystone,USA
9336,United States,Erie,USA
9337,United States,Fairland,USA
9338,United States,Fort Dodge,USA
9339,United States,Middleborough,USA
9340,United States,Ottumwa,USA
9341,United States,Candler-McAfee,USA
9342,United States,Calabasas,USA
9343,United States,Loma Linda,USA
9344,Fiji,Labasa,FJI
9345,United States,Marysville,USA
9346,United States,Avon Lake,USA
9347,United States,Mequon,USA
9348,United States,Plainview,USA
9349,United States,Fort Washington,USA
9350,United States,Madisonville,USA
9351,United States,Forest Grove,USA
9352,United States,Hudson,USA
9353,Libya,Al Jawf,LBY
9354,United States,Medford,USA
9355,Denmark,Frederikshavn,DNK
9356,United States,Faribault,USA
9357,Namibia,Grootfontein,NAM
9358,United States,Fairfax,USA
9359,Saudi Arabia,As Sulayyil,SAU
9360,United States,Westford,USA
9361,Russia,Gusinoozersk,RUS
9362,United States,Farmington,USA
9363,United States,Dunkirk,USA
9364,Russia,Kalachinsk,RUS
9365,United States,Wilsonville,USA
9366,United States,Dinuba,USA
9367,United States,Vero Beach South,USA
9368,French Guiana,Kourou,GUF
9369,United States,Easton,USA
9370,United States,Brandon,USA
9371,United States,Rolling Meadows,USA
9372,United States,Ilion,USA
9373,United States,Cranford,USA
9374,United States,Zion,USA
9375,United States,Cottage Lake,USA
9376,United States,Heber,USA
9377,Burkina Faso,Zorgo,BFA
9378,United States,North Haven,USA
9379,United States,Port Angeles,USA
9380,United States,Pooler,USA
9381,United States,Charles Town,USA
9382,United States,Centerville,USA
9383,Brazil,Jardim,BRA
9384,India,Diu,IND
9385,China,Hoh Ereg,CHN
9386,Guinea,Fria,GIN
9387,Brazil,Guanhaes,BRA
9388,Kazakhstan,Khromtau,KAZ
9389,United States,Conway,USA
9390,United States,Bay Point,USA
9391,Zambia,Nchelenge,ZMB
9392,United States,Mansfield,USA
9393,United States,Greeneville,USA
9394,United States,Derby,USA
9395,United States,Halfmoon,USA
9396,Colombia,Ayapel,COL
9397,Russia,Bogotol,RUS
9398,Russia,Dudinka,RUS
9399,United States,Forest Lake,USA
9400,United States,Palatka,USA
9401,Kyrgyzstan,Tash-Komur,KGZ
9402,United States,Benbrook,USA
9403,United States,Socastee,USA
9404,Peru,Nazca,PER
9405,Dominican Republic,El Seibo,DOM
9406,United States,Mount Pocono,USA
9407,United States,Half Moon Bay,USA
9408,United States,Wilmington,USA
9409,United States,Jacksonville Beach,USA
9410,Congo (Kinshasa),Bondo,COD
9411,United States,Rockingham,USA
9412,United States,Van Buren,USA
9413,Russia,L'gov,RUS
9414,United States,Pelham,USA
9415,United States,Greenbelt,USA
9416,United States,Plainsboro,USA
9417,United States,Palm River-Clair Mel,USA
9418,United States,Belton,USA
9419,United States,Wadsworth,USA
9420,United States,Ellensburg,USA
9421,United States,Yarmouth,USA
9422,United States,Roxbury,USA
9423,United States,Romulus,USA
9424,United States,Acton,USA
9425,United States,Gallup,USA
9426,United States,Bloomingdale,USA
9427,United States,Loves Park,USA
9428,United States,Converse,USA
9429,United States,Wekiwa Springs,USA
9430,United States,Medford,USA
9431,United States,Wright,USA
9432,United States,Camas,USA
9433,United States,Lincolnton,USA
9434,United States,Shelbyville,USA
9435,United States,Auburn Hills,USA
9436,Nepal,Baglung,NPL
9437,United States,Westchase,USA
9438,Moldova,Dubasari,MDA
9439,Brazil,Quarai,BRA
9440,Australia,Mount Gambier,AUS
9441,United States,Sugar Hill,USA
9442,United States,Bethany,USA
9443,Burundi,Gitega,BDI
9444,United States,Crystal,USA
9445,Mozambique,Macia,MOZ
9446,United States,Oakdale,USA
9447,United States,Meadville,USA
9448,United States,Laguna Beach,USA
9449,United States,Watertown,USA
9450,United States,Morton Grove,USA
9451,United States,Columbus,USA
9452,United States,West Springfield,USA
9453,Egypt,Siwah,EGY
9454,United States,Farmington,USA
9455,United States,Montgomery,USA
9456,Kazakhstan,Lengir,KAZ
9457,United States,Avon,USA
9458,United States,Hingham,USA
9459,United States,Arnold,USA
9460,United States,Auburn,USA
9461,United States,Seymour,USA
9462,United States,Venice,USA
9463,United States,Onondaga,USA
9464,Kazakhstan,Makinsk,KAZ
9465,Peru,Sechura,PER
9466,United States,Saginaw,USA
9467,China,Gyegu,CHN
9468,United States,Hunters Creek,USA
9469,United States,Okemos,USA
9470,United States,Anthem,USA
9471,Puerto Rico,Vega Baja,PRI
9472,United States,Tumwater,USA
9473,United States,Solon,USA
9474,United States,Roanoke Rapids,USA
9475,United States,Greenfield Town,USA
9476,United States,Silver Firs,USA
9477,United States,North Augusta,USA
9478,Russia,Inta,RUS
9479,United States,Taylors,USA
9480,United States,Lisle,USA
9481,United States,Montrose,USA
9482,United States,Chalmette,USA
9483,Burkina Faso,Yako,BFA
9484,United States,Pittsburg,USA
9485,United States,Webster Groves,USA
9486,United States,Hastings,USA
9487,United States,Kenmore,USA
9488,United States,Oxford,USA
9489,United States,Willoughby,USA
9490,Argentina,Tunuyan,ARG
9491,United States,Canton,USA
9492,United States,Harriman,USA
9493,United States,East Patchogue,USA
9494,United States,Roselle,USA
9495,United States,Dolton,USA
9496,United States,Braidwood,USA
9497,United States,New Brighton,USA
9498,United States,Lathrop,USA
9499,Russia,Tashtagol,RUS
9500,United States,Griffin,USA
9501,United States,Brent,USA
9502,Mexico,San Miguel de Papasquiaro,MEX
9503,United States,East Peoria,USA
9504,United States,Machesney Park,USA
9505,United States,Farragut,USA
9506,Norway,Gjovik,NOR
9507,United States,Munster,USA
9508,United States,Elizabeth City,USA
9509,United States,Garden City,USA
9510,United States,Acworth,USA
9511,Russia,Onega,RUS
9512,Brazil,Maracaju,BRA
9513,Madagascar,Andoany,MDG
